"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R24,R6,R21,R2,R15,R19,R14,R27";"R_0805_2012Metric";8;"10k";;;
2;"Bat+";"TestPoint_Pad_1.0x1.0mm";1;"batSupply";;;
3;"TP15,TP12,TP2,TP13";"TestPoint_Pad_1.0x1.0mm";4;"TestPoint";;;
4;"C3,C15";"C_0805_2012Metric";2;"0.1uF";;;
5;"U6";"TSOT23-8_MP2315S_MNP";1;"MP2315SGJ-Z";;;
6;"C7,C8";"C_0805_2012Metric";2;"1uF";;;
7;"C9,C2,C5,C14,C10";"C_0805_2012Metric";5;"10uF";;;
8;"SWITCH";"SW_SS12D07VG4";1;"SS12D07VG4";;;
9;"Q3";"SOT-23";1;"BSS138";;;
10;"R23";"R_0805_2012Metric";1;"12k";;;
11;"L1";"L_0805_2012Metric";1;"10uH";;;
12;"3V3_Test";"TestPoint_Pad_1.0x1.0mm";1;"3v3_Test";;;
13;"R12,R9,R25,R26";"R_0805_2012Metric";4;"1k";;;
14;"NMOS";"SOT-23";1;"AO3400A";;;
15;"R13";"R_0805_2012Metric";1;"100";;;
16;"R8,R7";"R_0805_2012Metric";2;"5.1k";;;
17;"L2GTest";"TestPoint_Pad_1.0x1.0mm";1;"Load_2_G_Test";;;
18;"C19,C18,C16,C6,C17";"C_0805_2012Metric";5;"22uF";;;
19;"U8,U9";"SOT-23-6";2;"MT3608";;;
20;"L1GTest";"TestPoint_Pad_1.0x1.0mm";1;"Load_1_G_Test";;;
21;"R20";"R_0805_2012Metric";1;"27k";;;
22;"C11,C4,C12";"C_0805_2012Metric";3;"100nF";;;
23;"Q4,Q6";"SOT-23";2;"AO3401A";;;
24;"J1";"PinSocket_2x16_P2.54mm_Vertical";1;"Conn_02x16_Odd_Even";;;
25;"JP1";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm";1;"SolderJumper_2_Open";;;
26;"H-Bridge_2,H-Bridge_1";"TSSOP-16_4.4x5mm_P0.65mm";2;"DRV8833PW";;;
27;"usbV_T";"TestPoint_Pad_1.0x1.0mm";1;"usbc_V";;;
28;"USBC";"HRO_TYPE-C-31-M-12";1;"TYPE-C-31-M-12";;;
29;"INA219";"SOIC-8_3.9x4.9mm_P1.27mm";1;"INA219AxD";;;
30;"D5,D4";"DIOM4336X265N";2;"SS24_R5G";;;
31;"L2,L3";"L_0805_2012Metric";2;"22uH";;;
32;"R18";"R_0805_2012Metric";1;"47k";;;
33;"R22";"R_0805_2012Metric";1;"33k";;;
34;"P1";"JST_PHR-2";1;"PHR-2";;;
35;"R4";"R_0805_2012Metric";1;"20k";;;
36;"R11";"R_0805_2012Metric";1;"3.3k";;;
37;"5V_Test";"TestPoint_Pad_1.0x1.0mm";1;"5v_Test";;;
38;"PD_Trigger";"TSSOP-16_4.4x5mm_P0.65mm";1;"IP2721";;;
39;"U7";"SOT-23-5";1;"MCP73831-2-OT";;;
40;"Q7,Q5";"TO92254P470H750-3";2;"2N2222A";;;
41;"R5";"R_0805_2012Metric";1;"43k";;;
42;"R3";"R_0805_2012Metric";1;"20";;;
43;"D2";"LED_0805_2012Metric";1;"LED";;;
44;"L1Test";"TestPoint_Pad_1.0x1.0mm";1;"load_1_Test";;;
45;"L2Test";"TestPoint_Pad_1.0x1.0mm";1;"load_2_Test";;;
46;"R16";"R_0805_2012Metric";1;"0.0001k";;;
47;"R10";"R_0805_2012Metric";1;"5k";;;
48;"DW01A";"SOT95P280X135-6N";1;"DW01A-G";;;
49;"BAT_ON";"TestPoint_Pad_1.0x1.0mm";1;"BAT_ON";;;
50;"9V_Test";"TestPoint_Pad_1.0x1.0mm";1;"PD_V";;;
51;"Q1";"SOP65P640X120-8N";1;"FS8205A";;;
